requete	11pt_avg	P_1	P_10	P_100	P_1000	P_15	P_2	P_20	P_200	P_30	P_5	P_50	P_500	Rndcg	Rprec	bpref	iprec_at_recall_0.00	iprec_at_recall_0.10	iprec_at_recall_0.20	iprec_at_recall_0.30	iprec_at_recall_0.40	iprec_at_recall_0.50	iprec_at_recall_0.60	iprec_at_recall_0.70	iprec_at_recall_0.80	iprec_at_recall_0.90	iprec_at_recall_1.00	map	ndcg	ndcg_cut_10	ndcg_cut_100	ndcg_cut_1000	ndcg_cut_15	ndcg_cut_20	ndcg_cut_200	ndcg_cut_30	ndcg_cut_5	ndcg_cut_500	ndcg_rel	num_rel	num_rel_ret	num_ret	recall_1	recall_10	recall_100	recall_1000	recall_15	recall_2	recall_20	recall_200	recall_30	recall_5	recall_50	recall_500	recip_rank	relative_P_1	relative_P_10	relative_P_100	relative_P_1000	relative_P_15	relative_P_2	relative_P_20	relative_P_200	relative_P_30	relative_P_5	relative_P_50	relative_P_500	set_F	set_P	set_map	set_recall	set_relative_P	success_1	success_10	success_5	
451	0.5815	0.0	0.9000	0.1500	0.0180	0.7333	0.0	0.7000	0.0750	0.4667	1.0000	0.0	0.0340	0.8279	0.6364	0.5909	1.0000	1.0000	1.0000	0.9091	0.9091	0.7647	0.7368	0.0576	0.0195	0.0000	0.0000	0.5840	0.8490	0.9426	0.8175	0.8490	0.8648	0.8354	0.8175	0.8010	0.9344	0.8396	0.8991	22	18	1000	0.0	0.4091	0.6818	0.8182	0.5000	0.0	0.6364	0.6818	0.6364	0.2273	0.0	0.7727	1.0000	0.0	0.9000	0.6818	0.8182	0.7333	0.0	0.7000	0.6818	0.6364	1.0000	0.0	0.7727	0.0352	0.0180	0.0147	0.8182	0.8182	1.0000	1.0000	1.0000	
452	0.1418	0.0	0.8000	0.2900	0.0830	0.6667	0.0	0.5500	0.2050	0.4667	0.6000	0.0	0.1080	0.2998	0.1636	0.1420	1.0000	0.3649	0.1085	0.0864	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0873	0.2938	0.3976	0.3054	0.2938	0.3991	0.3809	0.2414	0.3706	0.3422	0.2302	0.2947	269	83	0.0	0.0	0.0297	0.1078	0.3086	0.0372	0.0	0.0409	0.1524	0.0520	0.0112	0.0	0.2007	1.0000	0.0	0.8000	0.2900	0.3086	0.6667	0.0	0.5500	0.2050	0.4667	0.6000	0.0	0.2007	0.1308	0.0830	0.0256	0.3086	0.3086	1.0000	1.0000	1.0000	
453	0.3669	0.0	0.7000	0.4500	0.0810	0.8000	0.0	0.7500	0.2800	0.6667	0.8000	0.0	0.1400	0.5238	0.4466	0.3753	0.8571	0.8333	0.6562	0.5167	0.4574	0.3824	0.1950	0.1372	0.0000	0.0000	0.0000	0.3489	0.6501	0.3771	0.4783	0.6501	0.4928	0.5230	0.5392	0.5195	0.4152	0.6062	0.5456	103	81	0.0	0.0	0.0680	0.4369	0.7864	0.1165	0.0	0.1456	0.5437	0.1942	0.0388	0.0	0.6796	0.5000	0.0	0.7000	0.4500	0.7864	0.8000	0.0	0.7500	0.5437	0.6667	0.8000	0.0	0.6796	0.1469	0.0810	0.0637	0.7864	0.7864	0.0000	1.0000	1.0000	
454	0.3789	0.0	0.5000	0.4600	0.1270	0.5333	0.0	0.5000	0.3500	0.6000	0.4000	0.0	0.2280	0.5502	0.4143	0.3588	0.6250	0.6250	0.5800	0.5116	0.4496	0.3571	0.3333	0.2943	0.2363	0.1556	0.0000	0.3584	0.7319	0.4304	0.5175	0.7319	0.4661	0.4377	0.5327	0.5375	0.3452	0.6908	0.5818	140	127	0.0	0.0	0.0357	0.3286	0.9071	0.0571	0.0	0.0714	0.5000	0.1286	0.0143	0.0	0.8143	0.5000	0.0	0.5000	0.4600	0.9071	0.5333	0.0	0.5000	0.5000	0.6000	0.4000	0.0	0.8143	0.2228	0.1270	0.1152	0.9071	0.9071	0.0000	1.0000	1.0000	
455	0.2565	0.0	0.3000	0.1300	0.0160	0.3333	0.0	0.4000	0.0800	0.3000	0.6000	0.0	0.0320	0.4196	0.3750	0.2604	0.7500	0.7500	0.4444	0.4444	0.2083	0.1413	0.0833	0.0000	0.0000	0.0000	0.0000	0.2111	0.4908	0.3551	0.4487	0.4908	0.3602	0.3942	0.4908	0.3811	0.4788	0.4908	0.4469	24	16	0.0	0.0	0.1250	0.5417	0.6667	0.2083	0.0	0.3333	0.6667	0.3750	0.1250	0.0	0.6667	0.5000	0.0	0.3000	0.5417	0.6667	0.3333	0.0	0.4000	0.6667	0.3750	0.6000	0.0	0.6667	0.0312	0.0160	0.0107	0.6667	0.6667	0.0000	1.0000	1.0000	
456	0.0012	0.0	0.0000	0.0000	0.0040	0.0000	0.0	0.0000	0.0000	0.0000	0.0000	0.0	0.0000	0.0194	0.0000	0.0000	0.0043	0.0043	0.0043	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0581	0.0000	0.0000	0.0581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0520	14	4	0.0	0.0	0.0000	0.0000	0.2857	0.0000	0.0	0.0000	0.0000	0.0000	0.0000	0.0	0.0000	0.0020	0.0	0.0000	0.0000	0.2857	0.0000	0.0	0.0000	0.0000	0.0000	0.0000	0.0	0.0000	0.0079	0.0040	0.0011	0.2857	0.2857	0.0000	0.0000	0.0000	
457	0.1182	0.0	0.3000	0.1200	0.0540	0.2000	0.0	0.1500	0.1450	0.1333	0.2000	0.0	0.0960	0.2518	0.1159	0.0777	0.3750	0.1556	0.1522	0.1522	0.1522	0.1120	0.1120	0.0891	0.0000	0.0000	0.0000	0.1033	0.4581	0.1617	0.1631	0.4581	0.1400	0.1250	0.3031	0.1219	0.0656	0.4212	0.3229	69	54	0.0	0.0	0.0435	0.1739	0.7826	0.0435	0.0	0.0435	0.4203	0.0580	0.0145	0.0	0.6957	0.2000	0.0	0.3000	0.1739	0.7826	0.2000	0.0	0.1500	0.4203	0.1333	0.2000	0.0	0.6957	0.1010	0.0540	0.0423	0.7826	0.7826	0.0000	1.0000	1.0000	
458	0.0266	0.0	0.0000	0.0600	0.0140	0.0000	0.0	0.0000	0.0400	0.0333	0.0000	0.0	0.0220	0.0789	0.0571	0.0155	0.0952	0.0952	0.0556	0.0248	0.0221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0204	0.1990	0.0000	0.1006	0.1990	0.0000	0.0000	0.1256	0.0221	0.0000	0.1697	0.1669	35	14	0.0	0.0	0.0000	0.1714	0.4000	0.0000	0.0	0.0000	0.2286	0.0286	0.0000	0.0	0.3143	0.0476	0.0	0.0000	0.1714	0.4000	0.0000	0.0	0.0000	0.2286	0.0333	0.0000	0.0	0.3143	0.0271	0.0140	0.0056	0.4000	0.4000	0.0000	0.0000	0.0000	
459	0.2159	0.0	0.4000	0.1900	0.0330	0.2667	0.0	0.2500	0.1150	0.2000	0.6000	0.0	0.0620	0.5892	0.2558	0.1585	1.0000	0.2750	0.2750	0.2308	0.1979	0.1901	0.1140	0.0917	0.0000	0.0000	0.0000	0.1965	0.6370	0.6090	0.5075	0.6370	0.5179	0.4796	0.5474	0.4126	0.7227	0.6227	0.5766	43	33	0.0	0.0	0.0930	0.4419	0.7674	0.0930	0.0	0.1163	0.5349	0.1395	0.0698	0.0	0.7209	1.0000	0.0	0.4000	0.4419	0.7674	0.2667	0.0	0.2500	0.5349	0.2000	0.6000	0.0	0.7209	0.0633	0.0330	0.0253	0.7674	0.7674	1.0000	1.0000	1.0000	
460	0.1240	0.0	0.0000	0.1800	0.0500	0.0000	0.0	0.0000	0.1400	0.0333	0.0000	0.0	0.0940	0.2776	0.0984	0.1080	0.1875	0.1875	0.1875	0.1863	0.1591	0.1410	0.1375	0.1164	0.0610	0.0000	0.0000	0.1078	0.4777	0.0000	0.2051	0.4777	0.0000	0.0000	0.2998	0.0230	0.0000	0.4564	0.3063	61	50	0.0	0.0	0.0000	0.2951	0.8197	0.0000	0.0	0.0000	0.4590	0.0164	0.0000	0.0	0.7705	0.0385	0.0	0.0000	0.2951	0.8197	0.0000	0.0	0.0000	0.4590	0.0333	0.0000	0.0	0.7705	0.0943	0.0500	0.0410	0.8197	0.8197	0.0000	0.0000	0.0000	
